"","uid","articleId1","realness","accuracy"
"1",1,"2",3,4
"2",2,"3",3,2
"3",3,"1",3,2
"4",4,"1",4,5
"5",5,"2",4,5
"6",6,"1",2,2
"7",7,"1",3,4
"8",8,"2",3,3
"9",9,"3",5,4
"10",10,"2",4,5
"11",11,"3",4,3
"12",12,"1",2,2
"13",13,"1",3,3
"14",14,"3",1,1
"15",15,"1",3,3
"16",16,"3",4,4
"17",18,"2",4,4
"18",19,"3",2,2
"19",20,"1",4,4
"20",21,"2",3,3
"21",22,"3",3,2
"22",23,"3",4,4
"23",24,"1",4,4
"24",25,"2",4,3
"25",26,"2",5,5
"26",27,"1",5,5
"27",28,"2",3,3
"28",29,"3",4,5
"29",30,"2",3,4
"30",31,"2",3,4
"31",32,"2",4,4
"32",33,"2",5,3
"33",34,"2",3,3
"34",35,"2",4,3
"35",36,"3",2,2
"36",37,"1",2,5
"37",38,"3",5,4
"38",39,"3",4,5
"39",40,"1",3,3
"40",41,"3",4,5
"41",42,"3",4,3
"42",43,"1",4,3
"43",44,"3",5,5
"44",45,"1",5,4
"45",46,"2",4,4
"46",47,"1",4,4
"47",48,"3",4,4
"48",49,"2",4,3
"49",50,"1",2,1
"50",51,"1",3,2
"51",52,"2",3,4
"52",53,"1",3,3
"53",55,"2",5,5
"54",56,"3",4,5
"55",57,"2",4,4
"56",58,"3",4,5
"57",59,"1",4,4
"58",60,"1",4,3
"59",61,"1",3,3
"60",62,"3",3,3
"61",63,"3",1,1
"62",64,"1",4,4
"63",65,"3",4,2
"64",66,"3",3,4
"65",67,"2",4,4
"66",68,"1",4,3
"67",69,"2",5,5
"68",70,"2",4,4
"69",71,"3",4,3
"70",72,"2",2,3
"71",73,"2",3,5
"72",74,"1",1,2
"73",75,"1",5,5
"74",76,"1",4,5
"75",77,"2",3,4
"76",78,"3",4,4
"77",79,"3",3,3
"78",82,"2",3,3
"79",83,"3",2,3
"80",84,"3",3,2
"81",85,"2",4,4
"82",86,"1",3,4
"83",87,"1",4,4
"84",88,"2",3,4
"85",89,"1",3,2
"86",90,"2",3,4
"87",91,"3",5,5
"88",92,"3",4,4
"89",93,"1",4,5
"90",94,"1",3,3
"91",95,"3",2,2
"92",96,"2",3,2
"93",97,"2",5,5
"94",98,"3",4,5
"95",99,"2",2,3
"96",100,"3",2,2
"97",101,"1",4,4
"98",102,"1",2,1
"99",103,"1",4,4
"100",104,"2",4,4
"101",105,"3",4,5
"102",106,"1",4,4
"103",107,"1",4,4
"104",108,"2",4,4
"105",109,"1",4,3
"106",110,"3",3,3
"107",111,"1",4,3
"108",112,"3",4,2
"109",113,"2",5,5
"110",114,"3",3,3
"111",115,"1",4,3
"112",116,"3",4,4
