"","uid","residence","gender","age","group","bot_dummy","rebuttal_dummy","income_national","income_sample","income_sample_abs","accuracy","worth","articleId"
"1","2","山东淄博","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao"
"2","3","北京北京","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao"
"3","6","广东佛山","2",5,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,2,"zhongkao"
"4","8","辽宁沈阳","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,3,4,"zhongkao"
"5","10","山西太原","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,3,4,"zhongkao"
"6","18","广东广州","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,3,"zhongkao"
"7","19","北京北京","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,2,"zhongkao"
"8","24","北京北京","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,5,"zhongkao"
"9","32","北京北京","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"10","36","广东广州","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,1,"zhongkao"
"11","38","湖北随州","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,1,1,4,4,"zhongkao"
"12","39","广西桂林","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,3,2,1,1,"zhongkao"
"13","40","广东广州","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,4,"zhongkao"
"14","46","浙江绍兴","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao"
"15","55","江西南昌","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,3,1,"zhongkao"
"16","57","安徽宣城","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,2,3,2,"zhongkao"
"17","66","广东深圳","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,5,4,"zhongkao"
"18","67","河北石家庄","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,4,4,"zhongkao"
"19","72","湖南长沙","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,2,"zhongkao"
"20","73","浙江嘉兴","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,5,4,"zhongkao"
"21","74","四川德阳","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,3,3,"zhongkao"
"22","77","山东潍坊","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,4,2,1,1,"zhongkao"
"23","80","上海上海","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,5,3,2,"zhongkao"
"24","81","河南郑州","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao"
"25","90","辽宁沈阳","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,2,2,"zhongkao"
"26","91","浙江杭州","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"27","93","河南郑州","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,4,4,"zhongkao"
"28","108","江苏苏州","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,2,"zhongkao"
"29","114","广东东莞","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao"
"30","115","河北石家庄","2",5,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,3,3,"zhongkao"
"31","117","上海上海","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,5,2,1,"zhongkao"
"32","119","广东广州","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,2,"zhongkao"
"33","121","山西太原","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao"
"34","122","河北石家庄","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,2,1,"zhongkao"
"35","124","浙江温州","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,3,1,"zhongkao"
"36","129","河南洛阳","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,4,2,"zhongkao"
"37","146","重庆重庆","2",7,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,2,1,"zhongkao"
"38","150","广东东莞","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,4,"zhongkao"
"39","151","浙江杭州","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao"
"40","152","江西上饶","2",1,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,2,3,"zhongkao"
"41","153","山东临沂","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao"
"42","170","广东东莞","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,2,"zhongkao"
"43","172","河北石家庄","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,4,4,"zhongkao"
"44","173","广东广州","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"45","174","山东日照","1",7,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,3,2,1,1,"zhongkao"
"46","179","陕西西安","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,4,2,1,1,"zhongkao"
"47","181","四川成都","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,4,4,"zhongkao"
"48","184","上海上海","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,5,4,4,"zhongkao"
"49","186","河北邢台","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,2,1,1,1,"zhongkao"
"50","187","江西九江","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,4,3,"zhongkao"
"51","190","山东泰安","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,5,5,"zhongkao"
"52","192","河南郑州","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,5,4,"zhongkao"
"53","194","江苏苏州","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,3,4,"zhongkao"
"54","196","山东聊城","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,1,1,1,1,"zhongkao"
"55","198","江西南昌","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,2,2,"zhongkao"
"56","207","甘肃兰州","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao"
"57","209","江苏南京","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,2,"zhongkao"
"58","216","上海上海","2",5,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,5,5,5,"zhongkao"
"59","226","湖北武汉","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao"
"60","227","广东广州","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,3,3,"zhongkao"
"61","233","江西南昌","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,5,4,"zhongkao"
"62","236","广东深圳","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,5,"zhongkao"
"63","238","山东济南","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,4,3,"zhongkao"
"64","243","内蒙古赤峰","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,2,2,4,3,"zhongkao"
"65","244","云南昆明","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,2,1,"zhongkao"
"66","258","贵州贵阳","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,2,1,"zhongkao"
"67","260","山西太原","1",6,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,3,2,"zhongkao"
"68","261","辽宁大连","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,2,4,"zhongkao"
"69","264","黑龙江哈尔滨","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,2,1,"zhongkao"
"70","271","北京北京","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"71","273","江西南昌","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao"
"72","283","山西太原","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,2,3,"zhongkao"
"73","291","山东潍坊","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,4,2,1,1,"zhongkao"
"74","298","上海上海","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,5,4,4,"zhongkao"
"75","301","四川成都","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,1,2,"zhongkao"
"76","303","贵州贵阳","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,5,3,"zhongkao"
"77","310","黑龙江佳木斯","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,1,1,2,1,"zhongkao"
"78","316","广东佛山","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,1,"zhongkao"
"79","325","江西南昌","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao"
"80","329","安徽淮南","1",5,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,4,4,"zhongkao"
"81","332","北京北京","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"82","337","广东深圳","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,2,"zhongkao"
"83","338","河北保定","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,2,2,3,2,"zhongkao"
"84","341","北京北京","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,5,5,"zhongkao"
"85","345","黑龙江哈尔滨","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,3,5,"zhongkao"
"86","349","四川成都","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,3,3,"zhongkao"
"87","351","北京北京","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,3,4,"zhongkao"
"88","352","湖北天门","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,2,1,2,2,"zhongkao"
"89","355","河北秦皇岛","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,2,2,"zhongkao"
"90","357","上海上海","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,5,4,4,"zhongkao"
"91","363","广东深圳","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,2,"zhongkao"
"92","373","湖南衡阳","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao"
"93","377","贵州贵阳","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,2,1,"zhongkao"
"94","378","辽宁营口","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,2,3,"zhongkao"
"95","381","上海上海","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,5,2,2,"zhongkao"
"96","382","河南平顶山","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,2,2,2,2,"zhongkao"
"97","387","上海上海","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,5,4,5,"zhongkao"
"98","388","浙江杭州","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,3,4,"zhongkao"
"99","389","安徽宿州","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,2,2,3,3,"zhongkao"
"100","391","北京北京","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,5,4,"zhongkao"
"101","396","浙江杭州","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,3,"zhongkao"
"102","398","安徽阜阳","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,2,2,4,4,"zhongkao"
"103","409","山西太原","2",6,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao"
"104","415","上海上海","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,5,2,2,"zhongkao"
"105","424","福建泉州","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,5,5,"zhongkao"
"106","425","贵州遵义","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,3,2,3,1,"zhongkao"
"107","434","浙江绍兴","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,3,5,"zhongkao"
"108","443","上海上海","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,5,3,5,"zhongkao"
"109","445","四川内江","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,5,2,"zhongkao"
"110","448","浙江嘉兴","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,1,"zhongkao"
"111","456","江苏苏州","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,3,3,"zhongkao"
"112","466","湖南长沙","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,3,4,"zhongkao"
"113","467","重庆重庆","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao"
"114","468","河北石家庄","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,4,5,"zhongkao"
"115","469","重庆重庆","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,2,2,"zhongkao"
"116","470","河北邯郸","1",5,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,3,2,5,4,"zhongkao"
"117","471","四川内江","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,5,3,"zhongkao"
"118","472","山东济南","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,2,1,"zhongkao"
"119","478","江苏常州","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,2,"zhongkao"
"120","482","辽宁沈阳","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,4,5,"zhongkao"
"121","489","广东广州","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"122","492","浙江杭州","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao"
"123","497","广东广州","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,1,"zhongkao"
"124","499","北京北京","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,1,"zhongkao"
"125","500","广东广州","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"126","504","江西南昌","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,2,1,"zhongkao"
"127","507","浙江绍兴","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao"
"128","516","广东广州","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao"
"129","517","山东淄博","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,4,4,"zhongkao"
"130","518","江西九江","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao"
"131","519","河北石家庄","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,3,3,"zhongkao"
"132","520","浙江温州","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"133","521","天津天津","2",5,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,2,2,"zhongkao"
"134","525","河北秦皇岛","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao"
"135","528","浙江宁波","1",5,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,2,"zhongkao"
"136","530","上海上海","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,5,5,4,"zhongkao"
"137","541","河北保定","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,2,2,2,3,"zhongkao"
