"","uid","residence","prewarning","group","gender","age","bot_dummy","rebuttal_dummy","income_national","income_sample","income_sample_abs","accuracy","worth","articleId","sixgroup"
"1",2,"上海上海","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,5,4,4,"zhongkao","NewsL_bot_rebuttal"
"2",3,"四川广元","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",4,3,2,2,1,"zhongkao","AIL_bot_rebuttal"
"3",7,"河北唐山","NewsL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,3,2,2,"zhongkao","NewsL_bot_rebuttal"
"4",12,"四川达州","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,3,2,4,3,"zhongkao","AIL_bot_rebuttal"
"5",13,"浙江金华","AIL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,4,4,5,"zhongkao","AIL_bot_rebuttal"
"6",18,"山东济南","AIL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao","AIL_bot_rebuttal"
"7",19,"山西太原","AIL","bot_rebuttal","2",5,"bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao","AIL_bot_rebuttal"
"8",24,"山西晋城","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,3,2,1,1,"zhongkao","AIL_bot_rebuttal"
"9",26,"吉林长春","AIL","bot_rebuttal","1",2,"bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao","AIL_bot_rebuttal"
"10",35,"江西赣州","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",4,3,2,3,4,"zhongkao","AIL_bot_rebuttal"
"11",38,"湖北武汉","NewsL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",5,5,3,2,2,"zhongkao","NewsL_bot_rebuttal"
"12",39,"山东枣庄","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,3,2,5,5,"zhongkao","AIL_bot_rebuttal"
